emp_no,first_name,last_name,birth_date,title,salary
40325,Vincent,Gist,1954-03-11,Senior Staff,40325
40327,Dinkar,Zobel,1955-01-15,Senior Staff,40327
40329,Berni,Gewali,1952-08-04,Staff,40329
40331,Nadjib,Tyugu,1953-10-30,Senior Engineer,40331
40333,Gennadi,Emden,1954-05-11,Engineer,40333
40335,Shahaf,Madeira,1952-08-13,Engineer,40335
40347,Vasiliy,Bala,1955-04-25,Engineer,40347
40360,Harjit,Miyakawa,1955-07-09,Engineer,40360
40362,Susumu,Veeraraghavan,1954-06-01,Senior Staff,40362
40364,Limsoon,Harllee,1955-06-20,Senior Staff,40364
40368,Demin,Binkley,1952-12-16,Senior Engineer,40368
40373,Diederik,Mateescu,1955-11-28,Senior Staff,40373
40379,Fumino,Engberts,1952-03-21,Senior Staff,40379
40384,Xinan,Irland,1955-04-26,Senior Staff,40384
40389,Mong,Kobuchi,1953-01-07,Staff,40389
40391,Tadahiko,Barriga,1954-07-14,Senior Staff,40391
40392,Qunsheng,Genther,1952-10-27,Engineer,40392
40393,Aleksander,Gajiwala,1953-10-24,Senior Staff,40393
40394,Vatsa,Masamoto,1955-07-27,Assistant Engineer,40394
40396,Sachem,Narahara,1955-11-11,Senior Staff,40396
40397,Abdelkader,Beetstra,1955-08-24,Technique Leader,40397
40398,Radhia,Szilard,1952-11-25,Senior Staff,40398
40399,Hirochika,Sidhu,1952-02-19,Technique Leader,40399
40400,Vesna,Bondorf,1955-08-28,Engineer,40400
40402,Weiye,Katzenelson,1955-09-30,Engineer,40402
40407,Heather,Jeansoulin,1952-09-25,Engineer,40407
40409,Jaroslava,Peha,1954-01-13,Senior Engineer,40409
40416,Volkmar,Gerteisen,1955-09-12,Assistant Engineer,40416
40417,Gian,Sundgren,1953-10-28,Staff,40417
40419,Zsolt,Frolund,1952-06-17,Senior Staff,40419
40422,Cullen,Billingsley,1952-02-08,Staff,40422
40423,Gita,Ligten,1954-07-16,Senior Staff,40423
40424,Niteen,Ghazalie,1953-05-08,Technique Leader,40424
40427,Aloke,Merks,1953-06-16,Engineer,40427
40428,Rosalie,Veldwijk,1955-07-07,Senior Staff,40428
40432,Leucio,Linnainmaa,1953-03-15,Senior Staff,40432
40434,Lalit,Salinas,1953-12-31,Staff,40434
40437,Yurij,Picht,1954-04-17,Senior Staff,40437
40439,Lihong,Papsdorf,1954-11-03,Assistant Engineer,40439
40447,Debaprosad,Pero,1953-06-01,Senior Engineer,40447
40450,Shan,Kakkad,1953-01-15,Engineer,40450
40454,Constantijn,Lorie,1953-04-21,Engineer,40454
40455,Weidon,Rubsam,1953-05-23,Staff,40455
40456,Heather,Lemarechal,1955-10-08,Engineer,40456
40459,Georg,Guting,1953-07-15,Engineer,40459
40462,Conrado,Schach,1952-12-14,Engineer,40462
40463,Rafail,Tokunaga,1954-02-10,Senior Engineer,40463
40464,Yakichi,Brender,1955-03-19,Engineer,40464
40465,Khoa,Brendel,1952-02-05,Engineer,40465
40466,Gita,Ritzmann,1953-06-13,Staff,40466
40467,Chirstian,Baar,1952-04-25,Senior Engineer,40467
40469,Radoslaw,Ellozy,1952-09-10,Senior Staff,40469
40471,Shir,Straney,1954-10-16,Engineer,40471
40474,Bodo,Duclos,1954-06-19,Senior Staff,40474
40476,Valdiodio,Asmuth,1955-09-28,Engineer,40476
40479,Khosrow,Pollock,1952-04-13,Staff,40479
40480,Leszek,Varman,1954-07-08,Senior Staff,40480
40484,Aria,Chiodo,1955-07-05,Assistant Engineer,40484
40486,Leen,Kopetz,1954-03-20,Engineer,40486
40487,Valery,Gulik,1953-12-03,Engineer,40487
40489,Yongmao,Bugrara,1954-03-17,Assistant Engineer,40489
40491,Kshitij,Swan,1953-07-27,Engineer,40491
40493,Yishay,Peris,1955-09-17,Engineer,40493
40494,Elliott,Lung,1954-02-05,Technique Leader,40494
40500,Aiman,Brattka,1954-04-16,Senior Staff,40500
40501,Tamiya,Prampolini,1952-02-27,Engineer,40501
40503,Janalee,Schusler,1952-04-24,Senior Staff,40503
40506,Alain,Griswold,1955-09-04,Engineer,40506
40507,Luerbio,Assaf,1953-08-12,Assistant Engineer,40507
40508,Anyuan,Birke,1952-03-26,Senior Staff,40508
40510,Lubomir,Grospietsch,1954-07-06,Senior Staff,40510
40511,Radhia,Alencar,1952-04-18,Senior Staff,40511
40512,Kwangjo,Melton,1955-08-14,Senior Staff,40512
40515,Magdalena,Dengi,1954-03-09,Technique Leader,40515
40517,Hironoby,Mattern,1952-03-05,Engineer,40517
40520,Danny,Gajiwala,1952-09-21,Engineer,40520
40522,Krisda,Kinley,1954-05-22,Senior Staff,40522
40523,Gro,Ramsey,1955-07-29,Senior Engineer,40523
40526,Nectarios,Birsak,1953-02-15,Engineer,40526
40528,Yannik,Litvinov,1955-05-15,Engineer,40528
40531,Etsuo,Kalefeld,1954-07-31,Staff,40531
40533,Kiyotoshi,Aingworth,1955-05-17,Engineer,40533
40543,Chikako,Merey,1952-10-21,Senior Engineer,40543
40547,Josyula,Debuse,1954-07-17,Senior Staff,40547
40548,Sushant,Gammage,1955-06-29,Senior Engineer,40548
40551,Lillian,Terkki,1954-04-10,Engineer,40551
40555,Yahiko,Manders,1954-06-18,Senior Staff,40555
40556,Murthy,Baaz,1955-07-17,Engineer,40556
40563,Hongzhu,Munos,1954-02-01,Engineer,40563
40566,Clyde,Siepmann,1953-11-14,Senior Staff,40566
40569,Mack,Fiebach,1952-07-23,Engineer,40569
40570,Changho,Merlo,1955-09-02,Technique Leader,40570
40574,Susumu,Ratnakar,1955-01-18,Senior Engineer,40574
40576,Zhenhua,Basagni,1955-07-12,Senior Staff,40576
40581,Mack,Jiang,1953-04-12,Engineer,40581
40584,Dmitry,Zykh,1954-09-19,Senior Staff,40584
40587,Xiping,Genin,1952-06-02,Technique Leader,40587
40588,Jovan,Aloia,1953-03-24,Staff,40588
40591,Aron,Hofting,1955-12-14,Senior Staff,40591
40592,Yucai,Gniady,1954-04-16,Senior Staff,40592
40593,Ebbe,Pouyioutas,1955-05-12,Staff,40593
40595,Tadahiko,Bolsens,1952-09-04,Assistant Engineer,40595
40597,Fumiyo,Limongiello,1952-11-02,Engineer,40597
40599,Fabrizio,Stanfel,1953-06-17,Senior Staff,40599
40600,Arch,Bazzichi,1954-01-07,Staff,40600
40604,Ung,Muniz,1954-01-20,Senior Staff,40604
40608,Pascal,Kaiserswerth,1955-11-12,Engineer,40608
40615,Jacopo,Karner,1952-07-15,Engineer,40615
40616,Sariel,Thummel,1955-12-08,Staff,40616
40622,Lubomir,Ulupinar,1955-07-09,Engineer,40622
40624,JoAnna,Thimonier,1952-09-17,Senior Staff,40624
40627,Rance,Hemaspaandra,1955-06-20,Staff,40627
40631,Frazer,Alameldin,1955-04-26,Senior Staff,40631
40635,Huican,Schapiro,1953-06-10,Senior Staff,40635
40639,Goo,Schnabel,1952-02-11,Staff,40639
40641,Eishiro,Papadias,1955-02-21,Staff,40641
40647,Mitsuyuki,Basagni,1953-05-09,Technique Leader,40647
40654,Honesty,Trachtenberg,1953-10-30,Engineer,40654
40658,Alois,Codenie,1954-05-02,Assistant Engineer,40658
40660,Piyush,Erbe,1952-02-02,Engineer,40660
40661,Takanari,Baik,1953-10-31,Engineer,40661
40668,Heon,Makinen,1955-10-19,Engineer,40668
40672,Yinlin,Pfau,1955-08-26,Engineer,40672
40679,Bokyung,Goldhammer,1954-07-12,Senior Staff,40679
40685,Shawna,Bugrara,1954-05-22,Senior Staff,40685
40690,Leni,Tomescu,1955-07-01,Senior Staff,40690
40693,Serge,Akazan,1953-05-21,Senior Staff,40693
40696,Torsten,Siprelle,1953-11-29,Senior Engineer,40696
40702,Sampalli,Fujisawa,1952-07-14,Engineer,40702
40704,Oksana,Parascandalo,1952-07-11,Engineer,40704
40714,Lijie,Covnot,1952-04-01,Senior Staff,40714
40728,Heejo,Pepe,1954-05-29,Senior Staff,40728
40730,Yahiko,Kropf,1955-10-06,Staff,40730
40737,Mads,Pramanik,1954-02-24,Staff,40737
40738,Mototsugu,Varman,1955-12-11,Engineer,40738
40739,Kazuhiko,Itzfeldt,1955-09-01,Senior Staff,40739
40741,Guiseppe,Nooteboom,1954-09-14,Staff,40741
40743,Shawna,Badr,1953-05-17,Engineer,40743
40744,Izaskun,Ozeri,1953-09-09,Engineer,40744
40746,Kotesh,Jumpertz,1952-09-12,Senior Staff,40746
40752,Mantis,Verhaegen,1953-04-28,Staff,40752
40755,Leen,Kamber,1955-04-28,Staff,40755
40758,Kaijung,Munro,1952-10-05,Engineer,40758
40760,Munehiro,Yetto,1953-04-25,Senior Staff,40760
40762,Tze,Tanemo,1952-04-10,Staff,40762
40764,Shuky,Senzako,1952-07-29,Senior Staff,40764
40766,Paris,Sudkamp,1955-10-03,Engineer,40766
40768,Aral,Merro,1953-01-21,Engineer,40768
40769,Seongbin,Covnot,1954-11-16,Senior Staff,40769
40770,Jiang,Nitta,1953-05-04,Senior Staff,40770
40775,Petter,Schmittgen,1955-09-28,Engineer,40775
40776,Christoper,Zucker,1953-11-15,Technique Leader,40776
40777,Jeong,Birdsall,1953-07-24,Senior Staff,40777
40778,Isamu,Thimonier,1953-06-12,Senior Staff,40778
40779,Itzchak,Begiun,1954-05-07,Senior Engineer,40779
40780,Jaber,Binding,1955-06-01,Senior Engineer,40780
40781,Nobuyoshi,Pfau,1952-08-30,Senior Staff,40781
40782,Mitchel,Bodoff,1954-06-10,Senior Engineer,40782
40786,Gretta,Whittlesey,1952-11-29,Senior Engineer,40786
40791,Florian,Benzmuller,1952-12-31,Senior Staff,40791
40796,Byong,Cochrane,1953-11-29,Staff,40796
40799,Stabislas,Awdeh,1952-05-25,Staff,40799
40800,Waiman,Hainaut,1953-07-26,Senior Engineer,40800
40802,Baocai,Ecklund,1955-07-08,Engineer,40802
40803,Shuzo,Kavraki,1952-05-25,Senior Staff,40803
40806,Utz,Bratten,1955-03-28,Staff,40806
40810,Jingling,Baak,1952-05-01,Senior Staff,40810
40813,Katsuo,Fandrianto,1953-06-09,Engineer,40813
40814,Heather,Lunn,1955-06-15,Staff,40814
40815,Bouchung,Servieres,1955-02-16,Senior Staff,40815
40822,Rosli,Munoz,1952-09-09,Staff,40822
40824,Serap,Kleiser,1955-04-18,Engineer,40824
40825,Yannis,Dusink,1955-12-05,Senior Staff,40825
40826,Marsal,Streng,1954-07-12,Senior Staff,40826
40829,Jianhui,Mitzlaff,1955-03-05,Senior Staff,40829
40834,Elzbieta,Fritzsche,1953-09-28,Engineer,40834
40839,Prodip,Otillio,1953-10-13,Senior Staff,40839
40841,Masako,Lindqvist,1954-04-05,Senior Staff,40841
40844,Martine,Rohrbach,1954-04-15,Staff,40844
40845,Limsoon,Renear,1955-12-24,Engineer,40845
40848,Remmert,Couchot,1953-10-05,Assistant Engineer,40848
40853,Terresa,Guardalben,1952-04-04,Assistant Engineer,40853
40855,Guangming,Lovengreen,1954-09-21,Assistant Engineer,40855
40856,Gaurav,Schaar,1953-07-02,Senior Staff,40856
40859,Leszek,Rattan,1954-09-21,Technique Leader,40859
40867,Bikash,Suri,1955-05-09,Senior Staff,40867
40868,Limsoon,Malabarba,1952-04-30,Senior Staff,40868
40869,Flemming,Snedden,1954-02-14,Senior Engineer,40869
40871,Akhilish,Dusink,1955-08-11,Senior Staff,40871
40872,Qunsheng,Cunliffe,1952-05-17,Engineer,40872
40878,Yishay,Syrotiuk,1954-12-28,Senior Engineer,40878
40881,Hatem,Acton,1953-12-28,Engineer,40881
40883,Chinho,Kushner,1952-09-01,Senior Engineer,40883
40891,Jinya,Kaltofen,1953-12-21,Senior Staff,40891
40896,Gill,Emiris,1953-05-10,Senior Staff,40896
40897,Oguz,Burnard,1955-10-02,Engineer,40897
40901,Brendon,Gluchowski,1954-10-16,Staff,40901
40904,Fumiko,Willoner,1954-11-30,Technique Leader,40904
40907,Jaana,Rando,1954-09-17,Engineer,40907
40910,Tamiya,Chimia,1954-10-22,Senior Staff,40910
40911,Kirk,Perri,1955-07-06,Senior Engineer,40911
40922,Abdelghani,Casperson,1953-07-16,Senior Staff,40922
40924,Dharmaraja,Shokrollahi,1955-04-23,Senior Staff,40924
40927,Yechiam,Flexer,1955-02-26,Engineer,40927
40928,Christ,Randt,1955-08-13,Engineer,40928
40932,Kolar,DuBourdieux,1952-08-26,Senior Staff,40932
40938,Martins,Nyrup,1955-01-24,Engineer,40938
40943,Mohua,Taubman,1955-01-29,Engineer,40943
40944,Munehiko,Chleq,1952-12-26,Engineer,40944
40946,Fumitake,Mahmud,1952-11-29,Assistant Engineer,40946
40947,Erez,Maierhofer,1954-12-20,Senior Engineer,40947
40950,Isaac,Herber,1953-04-04,Senior Staff,40950
40952,Mario,Borovoy,1952-06-29,Technique Leader,40952
40955,Navin,Versino,1955-11-07,Engineer,40955
40961,Basil,Senzako,1953-12-25,Technique Leader,40961
40965,Marsha,Farrow,1952-05-11,Technique Leader,40965
40966,Sibyl,Keustermans,1952-11-17,Senior Staff,40966
40977,Elvia,Sinicrope,1954-01-13,Staff,40977
40979,Rutger,Jansen,1955-09-30,Staff,40979
40985,Mong,Qiwen,1952-02-06,Senior Engineer,40985
40987,Zeljko,Sidou,1953-09-03,Engineer,40987
40989,Fumitake,Foote,1953-08-26,Senior Staff,40989
40991,Anneli,Bage,1953-02-04,Senior Staff,40991
40994,Gudjon,Lammel,1954-04-27,Staff,40994
40995,Ingmar,Salvesen,1953-02-23,Senior Staff,40995
40997,Ranan,Nations,1953-06-15,Engineer,40997
41001,Kensei,Flowers,1952-04-09,Senior Engineer,41001
41002,Irena,Guting,1954-10-11,Technique Leader,41002
41011,Geoff,Yurov,1953-05-25,Senior Staff,41011
41013,Shirish,Asrin,1953-10-27,Engineer,41013
41020,Uma,Chimia,1954-09-29,Senior Staff,41020
41027,Uriel,Pelc,1954-04-20,Assistant Engineer,41027
41029,Menkae,Bahi,1954-05-24,Engineer,41029
41037,Marie,Nivat,1952-08-30,Engineer,41037
41038,Sastry,Nittel,1955-03-16,Senior Engineer,41038
41039,Subhankar,Bala,1953-04-23,Engineer,41039
41040,Bezalel,Katalagarianos,1955-10-19,Staff,41040
41043,Doowon,Genther,1952-09-24,Senior Engineer,41043
41046,Arvin,Borstler,1955-09-28,Engineer,41046
41047,Dhritiman,Rajcani,1954-08-14,Senior Engineer,41047
41061,Masaki,Tsunoo,1952-06-20,Engineer,41061
41065,Vivian,Luck,1952-07-28,Staff,41065
41067,Munehiro,Benzaken,1955-10-28,Senior Staff,41067
41074,Leen,Siochi,1953-10-10,Senior Staff,41074
41076,Maik,Garigliano,1955-01-28,Staff,41076
41077,Amalendu,Walston,1952-12-14,Senior Staff,41077
41081,Faiza,Mikschl,1953-02-16,Senior Engineer,41081
41086,Spyrose,Boudaillier,1955-04-05,Technique Leader,41086
41089,Berthier,Kragelund,1953-09-07,Technique Leader,41089
41095,Wuxu,Ecklund,1954-04-25,Engineer,41095
41097,Kellyn,Zirintsis,1955-07-01,Senior Engineer,41097
41106,Weiyi,Fairtlough,1952-09-15,Engineer,41106
41110,Munehiko,Manders,1955-01-31,Engineer,41110
41111,Jongsuk,Swist,1952-11-02,Senior Staff,41111
41116,Mihalis,Azadmanesh,1954-10-18,Technique Leader,41116
41121,Tsuneo,Sankaranarayanan,1952-04-01,Engineer,41121
41122,Guenter,Hoppenstand,1952-12-10,Senior Staff,41122
41123,Christoper,Cichocki,1952-11-01,Senior Staff,41123
41128,Mohamadou,Schwaller,1955-01-14,Staff,41128
41140,Tonny,Bail,1952-10-04,Senior Staff,41140
41142,Cordelia,Ferretti,1953-01-24,Engineer,41142
41143,Teunis,Speel,1953-07-20,Senior Staff,41143
41147,Abdelaziz,Chimia,1954-04-26,Engineer,41147
41149,Alain,Wiegley,1953-09-18,Engineer,41149
41150,Yurii,Monarch,1953-04-25,Engineer,41150
41157,Jeanne,Valiente,1955-03-16,Engineer,41157
41159,Atreyi,Heering,1955-06-14,Senior Engineer,41159
41168,Aran,Jumpertz,1954-01-16,Senior Staff,41168
41169,Torsten,Ghazalie,1955-03-06,Senior Staff,41169
41173,Maren,Aseltine,1953-08-06,Engineer,41173
41174,Xiaobin,Luca,1953-10-28,Engineer,41174
41177,Jolita,Anandan,1954-05-18,Senior Staff,41177
41179,Masamitsu,Vecchi,1954-02-11,Staff,41179
41181,Paddy,Delgrossi,1952-03-09,Senior Engineer,41181
41184,Nikolaus,Ranze,1955-10-10,Engineer,41184
41187,Jacqueline,Maquelin,1955-12-27,Staff,41187
41196,Vasiliy,Fendler,1952-10-09,Assistant Engineer,41196
41197,Vesna,Stille,1954-03-24,Senior Staff,41197
41198,Janalee,Christianini,1952-12-05,Senior Engineer,41198
41200,Huei,Leppanen,1952-06-17,Engineer,41200
41201,Kazuhito,Munch,1954-03-06,Staff,41201
41205,Charlene,Cusworth,1955-09-21,Senior Staff,41205
41206,Clyde,Giarratana,1954-10-31,Engineer,41206
41212,Mani,Chelton,1954-01-09,Assistant Engineer,41212
41213,Urs,Ponthieu,1954-03-22,Senior Staff,41213
41215,Moon,Wursthorn,1952-02-21,Engineer,41215
41216,Mario,Lieberherr,1955-01-13,Engineer,41216
41217,Limsoon,Trachtenberg,1955-06-14,Engineer,41217
41218,Kiyokazu,Miyakawa,1953-09-07,Assistant Engineer,41218
41228,Jacopo,Hebert,1954-10-07,Engineer,41228
41230,Adly,Schieder,1955-09-13,Staff,41230
41232,Yuriy,Millington,1954-05-13,Engineer,41232
41234,Paloma,Sidou,1955-05-18,Engineer,41234
41239,Malu,Rajaraman,1955-04-09,Senior Staff,41239
41240,Sungwon,Steinauer,1954-12-29,Engineer,41240
41244,Qunsheng,Valette,1954-06-30,Engineer,41244
41247,Kristinn,Zhiwei,1955-03-25,Senior Staff,41247
41248,Samphel,Laventhal,1955-06-13,Engineer,41248
41250,Kauko,Baezner,1953-02-06,Senior Engineer,41250
41251,Arne,Glinert,1952-06-02,Staff,41251
41265,Torsten,Poulakidas,1955-01-11,Senior Staff,41265
41274,Mari,Giveon,1954-08-18,Assistant Engineer,41274
41279,Shem,Goldhammer,1953-08-09,Staff,41279
41280,Felicidad,Czap,1952-05-24,Staff,41280
41283,KayLiang,Tetzlaff,1954-11-20,Assistant Engineer,41283
41287,Cedric,Brender,1955-03-19,Senior Engineer,41287
41290,Godehard,Leonhardt,1953-05-03,Engineer,41290
41292,Premsyl,Thombley,1953-09-07,Engineer,41292
41298,Elvia,Cesareni,1955-06-17,Senior Staff,41298
41299,Sigeru,Range,1955-05-19,Staff,41299
41301,Shuichi,Cochrane,1952-05-03,Senior Staff,41301
41304,Kristian,Ulupinar,1952-11-30,Engineer,41304
41310,Syozo,Waymire,1952-08-31,Engineer,41310
41312,Josyula,Munke,1954-10-16,Engineer,41312
41313,Gino,Nitto,1954-02-26,Assistant Engineer,41313
41319,Mototsugu,Unni,1952-06-23,Engineer,41319
41326,Dinah,Roohalamini,1954-01-24,Senior Staff,41326
41327,Phuoc,Chepyzhov,1954-02-26,Senior Engineer,41327
41332,Arfst,Swift,1954-09-20,Engineer,41332
41335,Dekang,Jullig,1952-05-24,Engineer,41335
41343,Heping,Veccia,1955-12-12,Senior Engineer,41343
41350,Olivera,Ratnakar,1953-12-09,Assistant Engineer,41350
41351,Deniz,Lagarias,1952-09-29,Staff,41351
41363,Ronghao,Siepmann,1953-07-26,Senior Staff,41363
41369,Shaunak,Mullainathan,1955-05-04,Engineer,41369
41370,Gudjon,Marshall,1954-09-15,Senior Engineer,41370
41371,Luise,Decaestecker,1954-06-18,Senior Staff,41371
41373,Mona,Veevers,1953-08-04,Senior Engineer,41373
41374,JiYoung,Schurmann,1952-02-03,Technique Leader,41374
41375,Yechiam,Rosis,1953-12-29,Engineer,41375
41377,Eric,Mitzlaff,1955-12-05,Staff,41377
41385,Aruna,Laurillard,1954-12-07,Staff,41385
41386,Adit,Pepe,1955-04-23,Engineer,41386
41389,Manton,Jeansoulin,1953-11-17,Technique Leader,41389
41399,Xiaoheng,Broomell,1954-12-17,Engineer,41399
41403,Khedija,Wrigley,1953-07-22,Staff,41403
41404,Marco,Isaak,1952-02-08,Senior Staff,41404
41406,Billur,Zaccaria,1954-02-10,Senior Engineer,41406
41410,Kwangho,Munch,1953-09-03,Staff,41410
41415,Munir,Antonisse,1954-06-05,Engineer,41415
41416,Mahendra,Merey,1952-05-23,Senior Engineer,41416
41420,IEEE,Domenig,1953-10-07,Senior Staff,41420
41422,Franziska,Ramamoorthy,1952-07-20,Engineer,41422
41425,Lalit,Orlowska,1954-04-18,Engineer,41425
41427,Ekawit,Kusakabe,1953-10-26,Engineer,41427
41428,Shai,Bierbaum,1955-05-30,Senior Staff,41428
41432,Basim,Dymetman,1954-01-14,Technique Leader,41432
41434,Salvador,Zuberek,1955-09-13,Senior Engineer,41434
41437,Christoper,Farrel,1952-09-03,Technique Leader,41437
41441,Pasqua,Shigei,1953-10-03,Assistant Engineer,41441
41445,Ronnie,Baez,1955-12-31,Senior Staff,41445
41451,Branimir,Angelopoulos,1952-07-31,Senior Engineer,41451
41460,Martial,Rodiger,1952-07-03,Engineer,41460
41461,Vasilis,Ravishankar,1953-02-07,Senior Engineer,41461
41463,Trygve,McClurg,1952-04-13,Senior Staff,41463
41465,Kazuyasu,Llado,1955-06-24,Engineer,41465
41466,Quingbo,Guenter,1955-07-30,Engineer,41466
41477,Dietrich,Zirintsis,1954-02-10,Senior Staff,41477
41485,Jaques,Delgrossi,1954-07-15,Senior Staff,41485
41487,Aemilian,Cummings,1954-05-18,Senior Staff,41487
41497,Guozhong,Chandrasekhar,1953-07-05,Engineer,41497
41498,Susanne,Masamoto,1952-09-18,Engineer,41498
41501,Kerryn,Kawashimo,1952-07-02,Engineer,41501
41507,Hyuckchul,Ertl,1953-05-28,Engineer,41507
41508,Aloys,Straney,1953-01-18,Staff,41508
41514,Magy,Iisaku,1953-04-07,Engineer,41514
41516,Dannz,Cooman,1954-11-28,Senior Staff,41516
41519,Domenick,Garigliano,1953-05-24,Senior Engineer,41519
41521,Tzu,Pauthner,1955-03-01,Senior Staff,41521
41527,Hisao,Oxman,1953-12-13,Engineer,41527
